shopId,shopifyDomain,plan,isOnTrial,totalUsage,generateCollectionDescription,generateCollectionSeoDescription,generateProductDescription,generateProductSeoDescription
zHMV6gqXK7puMrkKgHF4,yfcca0-2f.myshopify.com,pro,false,5236,0,0,0,5236
dK55jKHcLyWRIteTVuqY,luxperfume-269.myshopify.com,pro,false,4770,0,0,4770,0
6YAdUsOWvZKR87yVFrGB,b2k181-um.myshopify.com,pro,false,1754,53,115,818,768
jUzBaehZSEfsfSLWzVzs,4y119r-y1.myshopify.com,pro,false,1574,84,0,1302,188
yIGIatvjAfUxpNR89ZDk,derimod.myshopify.com,pro,false,350,0,0,350,0
wCZEdUrUT1lzfwB662qX,le-style-parfait.myshopify.com,pro,false,150,40,0,110,0
TXQngGItXxLen1F0APcq,e7w0v1-ud.myshopify.com,pro,false,145,0,0,145,0
yBh8huTE7WoydweydLmC,13h173-d1.myshopify.com,pro,false,125,0,0,125,0
sI0IEcf6zKmSUYY9WPWx,4vci6z-u5.myshopify.com,pro,false,105,0,0,75,30
9vSOBfnH09mmimMBpTio,a1eba4-01.myshopify.com,free,false,8,0,0,4,4
F0fb1cGyogir6qUqMyn3,windsor-wholesale.myshopify.com,pro,false,5,0,0,5,0
4LBnuYtpHfwT5whYRqfm,embark-travel-store.myshopify.com,free,false,2,0,0,2,0
ZqLgEHrGizXNgR5LZn1H,retourify.myshopify.com,pro,false,2,0,0,1,1
iKPK9UHv9xGnV98siqzy,yfdqke-na.myshopify.com,free,false,2,0,0,2,0
jOoxDl2fUhe9x9ndlTke,dropscribe-test-store.myshopify.com,free,false,2,0,1,1,0
yjO6U3NXF852rtXEJ7ie,cherry-tree-tools.myshopify.com,free,false,2,0,0,2,0
1C4K9jPDmpryVw6hT4du,3v51ad-gt.myshopify.com,free,false,1,0,0,1,0
aLeFUCc4pNRNXoiX91KW,bc4ff3-1b.myshopify.com,free,false,1,0,1,0,0
